GYR/x,GYR/y,GYR/z,ACC/x,ACC/y,ACC/z,RPY/R,RPY/P,RPY/Y,FINGERS/thumb,FINGERS/index,FINGERS/middle,FINGERS/ring
0.05836765095591545,-0.017928676679730415,-0.018323032185435295,0.140625,0.23046875,0.23828125,1.3484536409378052,-0.04436330497264862,-2.106849193572998,2409.0,3293.0,2944.0,3206.0,3.8924176692962646
0.09978935867547989,0.024894345551729202,-0.0007271043141372502,0.1484375,0.1328125,0.15625,1.356515884399414,-0.04791145771741867,-2.1022934913635254,2407.0,3293.0,2947.0,3207.0,3.894029378890991
0.20797337591648102,0.12779277563095093,0.00990316178649664,0.28515625,-0.23046875,-0.30078125,1.365984559059143,-0.049403443932533264,-2.093205451965332,2397.0,3283.0,2937.0,3200.0,3.8891942501068115
0.38432711362838745,0.3840857446193695,0.04234062507748604,-0.06640625,0.43359375,0.08203125,1.414321780204773,-0.04994187504053116,-2.0528125762939453,2405.0,3290.0,2943.0,3207.0,3.890805959701538
0.13204532861709595,0.3941992223262787,0.0473780557513237,0.15625,0.28125,-0.0625,1.4156265258789062,-0.05110427364706993,-2.0359714031219482,2405.0,3287.0,2946.0,3205.0,3.890805959701538
-0.009060242213308811,0.4467281997203827,0.05275843292474747,0.2421875,0.10546875,-0.140625,1.4071722030639648,-0.05079023540019989,-2.015875816345215,2406.0,3294.0,2945.0,3210.0,3.8891942501068115
-0.029866797849535942,0.523308277130127,0.059670668095350266,0.1640625,0.06640625,-0.15625,1.4022419452667236,-0.05057641863822937,-1.9905624389648438,2406.0,3293.0,2945.0,3210.0,3.890805959701538
-0.15174856781959534,1.042679786682129,0.07815489172935486,0.02734375,0.6640625,0.015625,1.3840162754058838,-0.0456463024020195,-1.912049651145935,2407.0,3291.0,2946.0,3209.0,3.8924176692962646
-0.24921372532844543,1.4583525657653809,0.09270880371332169,0.00390625,0.53515625,0.38671875,1.3663666248321533,-0.04083135351538658,-1.8516515493392944,2413.0,3292.0,2945.0,3210.0,3.8956410884857178
-0.3074989318847656,2.1538965702056885,0.11465935409069061,-0.0390625,0.34375,0.69921875,1.3462803363800049,-0.030831530690193176,-1.770263910293579,2407.0,3280.0,2928.0,3198.0,3.8843588829040527
-0.7085453271865845,4.399025917053223,0.32935217022895813,-0.9765625,0.62109375,2.77734375,1.3240525722503662,-0.01372657809406519,-1.6496858596801758,2436.0,3285.0,2938.0,3217.0,3.8924176692962646
-0.7761992812156677,2.874814510345459,2.235281467437744,-11.0234375,2.5234375,11.55078125,1.1879103183746338,-0.03206346929073334,-1.2624263763427734,2463.0,3280.0,2897.0,3233.0,3.8924176692962646
0.8847865462303162,-4.721334457397461,0.11026240885257721,-18.0625,-6.19140625,16.6640625,1.2096188068389893,-0.09567733854055405,-1.2839266061782837,2469.0,3282.0,2928.0,3250.0,3.8924176692962646
-3.6259829998016357,-14.434060096740723,-2.7036571502685547,-26.51171875,4.69921875,8.703125,1.2148343324661255,-0.16754719614982605,-1.676970362663269,2480.0,3323.0,3039.0,3301.0,3.894029378890991
-3.9654908180236816,-20.614328384399414,-5.889733791351318,-40.390625,4.44140625,-12.9609375,1.4126313924789429,-0.29361841082572937,2.7832143306732178,2331.0,3277.0,2919.0,3224.0,3.8956410884857178
2.0624403953552246,-5.481390953063965,-0.97161865234375,-17.02734375,12.3984375,-23.6875,1.5254381895065308,-0.23481149971485138,2.209967613220215,2269.0,3251.0,2895.0,3214.0,3.887582302093506
-0.5922785997390747,2.9892966747283936,1.0428094863891602,-19.37890625,11.41015625,-20.5625,1.5554733276367188,-0.2510637938976288,2.1926517486572266,2288.0,3280.0,2935.0,3248.0,3.8924176692962646
-0.5686105489730835,6.820888519287109,2.6881208419799805,-19.37890625,11.41015625,-20.5625,1.4661022424697876,-0.3307620882987976,2.409541130065918,2310.0,3291.0,2944.0,3253.0,3.8924176692962646
1.1115857362747192,11.663101196289062,0.9074376225471497,-9.12109375,-1.59765625,-4.0546875,1.2297940254211426,-0.2853894829750061,-3.0182504653930664,2387.0,3290.0,2945.0,3264.0,3.890805959701538
2.1821601390838623,10.81740665435791,1.1253669261932373,-8.1796875,-0.453125,1.625,1.2076541185379028,-0.15299667418003082,-2.5689280033111572,2415.0,3263.0,2891.0,3237.0,3.8924176692962646
