GYR/x,GYR/y,GYR/z,ACC/x,ACC/y,ACC/z,RPY/R,RPY/P,RPY/Y,FINGERS/thumb,FINGERS/index,FINGERS/middle,FINGERS/ring
-0.004973581526428461,-0.006212133914232254,-0.0006718958029523492,-0.015625,0.03515625,-0.09765625,1.3690428733825684,-0.06756825000047684,-2.2193350791931152,2454.0,3287.0,2928.0,3194.0,3.8843588829040527
-0.0009295596391893923,0.0028639540541917086,0.0021659587509930134,0.015625,0.0,-0.04296875,1.369660496711731,-0.06885308772325516,-2.2170913219451904,2462.0,3293.0,2937.0,3200.0,3.890805959701538
-0.00848472211509943,0.017864078283309937,0.0017742644995450974,-0.0625,0.03515625,0.046875,1.3662556409835815,-0.06852446496486664,-2.212620258331299,2463.0,3295.0,2939.0,3200.0,3.890805959701538
-0.009096483699977398,0.020227432250976562,0.0018996030557900667,-0.0234375,0.07421875,-0.02734375,1.3651081323623657,-0.06820501387119293,-2.2109830379486084,2463.0,3297.0,2937.0,3200.0,3.890805959701538
-0.0076967934146523476,0.025130441412329674,0.00045343273086473346,0.0234375,-0.0546875,0.03515625,1.3642033338546753,-0.06761801242828369,-2.209420919418335,2463.0,3292.0,2935.0,3202.0,3.8924176692962646
-0.004442439880222082,0.046645212918519974,-0.0033631264232099056,0.0390625,-0.1171875,-0.22265625,1.3646537065505981,-0.06521269679069519,-2.2060739994049072,2462.0,3295.0,2934.0,3200.0,3.8924176692962646
-0.02291339635848999,0.16934190690517426,-0.007411776576191187,0.03125,0.20703125,-0.5,1.3609551191329956,-0.05751577019691467,-2.1879305839538574,2454.0,3285.0,2941.0,3202.0,3.8956410884857178
-0.03666451573371887,0.26515039801597595,-0.005757804028689861,-0.00390625,0.328125,-0.37890625,1.35422682762146,-0.05382564291357994,-2.1709585189819336,2455.0,3287.0,2928.0,3195.0,3.887582302093506
-0.040563493967056274,0.3310377299785614,-0.004865771159529686,-0.05078125,-0.0390625,0.0859375,1.3496543169021606,-0.05063583701848984,-2.1537299156188965,2459.0,3293.0,2935.0,3201.0,3.890805959701538
-0.0786108523607254,0.42614200711250305,-0.0016795321134850383,-0.1328125,0.17578125,0.20703125,1.3371460437774658,-0.04293007776141167,-2.114251136779785,2459.0,3293.0,2935.0,3200.0,3.890805959701538
-0.1762060672044754,0.4598880112171173,-0.004821229260414839,0.21875,0.12890625,-0.31640625,1.323157548904419,-0.03867803141474724,-2.0949575901031494,2457.0,3294.0,2939.0,3201.0,3.8891942501068115
-0.5257518887519836,0.5986185073852539,-0.015237013809382915,0.25390625,0.58984375,-0.57421875,1.2921661138534546,-0.027047455310821533,-2.071028232574463,2457.0,3294.0,2940.0,3201.0,3.890805959701538
-0.3252502977848053,1.2951537370681763,0.004811957478523254,0.40234375,0.2421875,-0.2890625,1.2648423910140991,-0.011957773007452488,-2.02191162109375,2461.0,3292.0,2943.0,3203.0,3.8924176692962646
-0.18311220407485962,0.4971485435962677,0.1089649349451065,-3.2890625,1.01171875,8.95703125,1.2915115356445312,-0.0019142117816954851,-1.9067825078964233,2457.0,3281.0,2932.0,3199.0,3.887582302093506
-0.7011809349060059,-0.4463045001029968,0.16904710233211517,-4.03515625,0.70703125,9.6953125,1.2625471353530884,-0.01557113230228424,-1.9149736166000366,2473.0,3296.0,2944.0,3213.0,3.8924176692962646
-0.9123546481132507,-0.8581476807594299,0.2411436140537262,-5.54296875,-0.24609375,9.25,1.2288697957992554,-0.04101681709289551,-1.9435126781463623,2481.0,3307.0,2960.0,3235.0,3.8891942501068115
-1.9304341077804565,-6.590129852294922,-0.3261268138885498,-11.484375,1.75,9.0234375,1.1576780080795288,-0.07840811461210251,-2.016721487045288,2483.0,3315.0,2989.0,3260.0,3.890805959701538
-1.9426438808441162,-16.466083526611328,-4.077061653137207,-18.1953125,-0.39453125,2.0546875,1.1360763311386108,-0.2731547951698303,-2.799131393432617,2479.0,3313.0,3007.0,3265.0,3.8891942501068115
-3.6259284019470215,-17.14078712463379,-5.370736122131348,-28.0,7.27734375,-16.14453125,1.249139428138733,-0.3429987132549286,2.7159502506256104,2373.0,3312.0,3047.0,3264.0,3.890805959701538
0.08752474933862686,-9.373056411743164,-2.7383861541748047,-19.6875,5.06640625,-22.77734375,1.339377760887146,-0.33017101883888245,2.0957303047180176,2288.0,3317.0,3056.0,3267.0,3.8924176692962646
