GYR/x,GYR/y,GYR/z,ACC/x,ACC/y,ACC/z,RPY/R,RPY/P,RPY/Y,FINGERS/thumb,FINGERS/index,FINGERS/middle,FINGERS/ring
-0.0015559112653136253,0.009421844966709614,-0.006682758219540119,-0.04296875,0.03515625,0.19921875,1.3893390893936157,-0.10372970998287201,-2.1160197257995605,2449.0,3279.0,2907.0,3183.0,3.894029378890991
-0.0027432707138359547,-0.002363962586969137,-0.008924361318349838,-0.02734375,0.19140625,-0.015625,1.388495922088623,-0.10228481143712997,-2.121157169342041,2449.0,3279.0,2909.0,3184.0,3.894029378890991
-0.003199418308213353,-0.006510288454592228,-0.010623852722346783,0.015625,0.01953125,-0.05859375,1.3886915445327759,-0.1017039343714714,-2.1228137016296387,2451.0,3277.0,2909.0,3184.0,3.894029378890991
-0.011011282913386822,-0.012365000322461128,-0.01582936756312847,-0.01171875,-0.0859375,-0.0078125,1.3857696056365967,-0.09972485154867172,-2.125056743621826,2449.0,3278.0,2911.0,3185.0,3.8972527980804443
-0.051190171390771866,-0.039915211498737335,-0.02249314822256565,-0.13671875,0.20703125,0.11328125,1.3691883087158203,-0.09603427350521088,-2.134488344192505,2451.0,3280.0,2917.0,3186.0,3.894029378890991
-0.05272762104868889,-0.04648475721478462,-0.026219874620437622,-0.00390625,-0.0546875,0.203125,1.3662679195404053,-0.09427277743816376,-2.1388745307922363,2448.0,3277.0,2914.0,3181.0,3.8891942501068115
-0.08281584084033966,-0.05350172519683838,-0.025990210473537445,-0.1484375,0.49609375,0.9609375,1.3612114191055298,-0.09325685352087021,-2.141911029815674,2445.0,3277.0,2914.0,3183.0,3.887582302093506
-0.13125412166118622,-0.06724345684051514,-0.022839676588773727,-0.15625,0.51953125,1.3515625,1.3492683172225952,-0.09382699429988861,-2.146652936935425,2451.0,3284.0,2926.0,3193.0,3.8956410884857178
-0.3465539813041687,0.20488601922988892,0.026316195726394653,-0.15234375,0.125,3.0,1.3211418390274048,-0.10151073336601257,-2.1414337158203125,2451.0,3283.0,2929.0,3202.0,3.894029378890991
-0.8678228259086609,0.7172629237174988,0.39117300510406494,-0.87890625,0.8671875,6.41796875,1.2782458066940308,-0.10944128781557083,-2.089003324508667,2473.0,3287.0,2935.0,3211.0,3.8924176692962646
-1.8117729425430298,0.48582494258880615,1.54848051071167,-4.18359375,2.27734375,11.19140625,1.1933001279830933,-0.16278819739818573,-2.0380735397338867,2481.0,3287.0,2910.0,3218.0,3.894029378890991
-1.9836632013320923,-9.688149452209473,-1.6842036247253418,-11.765625,-1.44921875,12.4140625,1.1329646110534668,-0.27395200729370117,-2.314676523208618,2485.0,3310.0,2963.0,3258.0,3.8924176692962646
-1.1650768518447876,-18.28900146484375,-2.575810194015503,-17.83984375,-1.58203125,2.11328125,1.2519772052764893,-0.40623366832733154,-2.928861618041992,2459.0,3312.0,3021.0,3267.0,3.8891942501068115
-4.020915985107422,-17.700475692749023,-3.8019285202026367,-21.37109375,-4.125,-5.75,1.5472520589828491,-0.40589281916618347,2.5289387702941895,2352.0,3310.0,3042.0,3259.0,3.8924176692962646
-3.538137912750244,-8.259261131286621,-2.719770908355713,-16.42578125,13.296875,-23.43359375,1.4795788526535034,-0.28516334295272827,1.9688376188278198,2365.0,3327.0,3067.0,3280.0,3.8924176692962646
-0.8360720276832581,4.724613666534424,1.6885204315185547,-15.27734375,8.7421875,-8.9921875,1.3894814252853394,-0.3280278444290161,2.1079251766204834,2382.0,3337.0,3086.0,3287.0,3.894029378890991
0.07192642986774445,4.745573043823242,1.3666868209838867,-7.78125,-0.70703125,-3.25390625,1.2994663715362549,-0.34965938329696655,2.32153058052063,2397.0,3333.0,3084.0,3281.0,3.8924176692962646
1.0958558320999146,4.651432514190674,0.6055402159690857,-5.8671875,-0.41015625,-3.39453125,1.2727752923965454,-0.3209814429283142,2.521472930908203,2399.0,3326.0,3056.0,3265.0,3.8956410884857178
1.0392401218414307,4.919897079467773,0.45151519775390625,-2.74609375,0.8671875,-3.5703125,1.2582546472549438,-0.27142995595932007,2.721647024154663,2410.0,3314.0,3024.0,3254.0,3.8972527980804443
0.9123381972312927,5.484286308288574,0.7449841499328613,-2.25390625,1.5390625,0.42578125,1.2352831363677979,-0.1792474091053009,-3.119068145751953,2413.0,3295.0,2985.0,3232.0,3.887582302093506
