GYR/x,GYR/y,GYR/z,ACC/x,ACC/y,ACC/z,RPY/R,RPY/P,RPY/Y,FINGERS/thumb,FINGERS/index,FINGERS/middle,FINGERS/ring
0.04820090904831886,-0.02209826186299324,0.0007912190048955381,-0.2578125,-0.13671875,0.125,1.3473761081695557,-0.14589253067970276,-2.2486555576324463,2416.0,3323.0,3031.0,3258.0,3.894029378890991
0.06703279167413712,-0.02133798412978649,0.055558815598487854,-0.26953125,0.28515625,0.1171875,1.35560941696167,-0.155577152967453,-2.251206398010254,2416.0,3326.0,3034.0,3259.0,3.8924176692962646
0.050137702375650406,0.0013809265801683068,0.07420313358306885,-0.23046875,0.19921875,0.09375,1.3569519519805908,-0.15962006151676178,-2.248544692993164,2407.0,3313.0,3020.0,3251.0,3.887582302093506
0.023063264787197113,0.034793268889188766,0.07420608401298523,-0.1328125,0.0546875,-0.12890625,1.353233814239502,-0.16210730373859406,-2.2426857948303223,2415.0,3322.0,3031.0,3260.0,3.890805959701538
-0.027793921530246735,0.12863659858703613,0.06374360620975494,-0.09375,-0.234375,-0.54296875,1.3459279537200928,-0.16122208535671234,-2.2317166328430176,2416.0,3319.0,3030.0,3255.0,3.890805959701538
-0.10598783940076828,1.2108535766601562,0.06213105097413063,0.0234375,-0.14453125,0.609375,1.3137736320495605,-0.14590147137641907,-2.1589198112487793,2413.0,3313.0,3014.0,3248.0,3.8891942501068115
-0.045548755675554276,1.8826749324798584,0.07221616059541702,-0.34765625,-0.14453125,2.74609375,1.3051981925964355,-0.13084247708320618,-2.0848448276519775,2416.0,3299.0,2974.0,3238.0,3.890805959701538
-0.16209381818771362,2.4300925731658936,0.09125369042158127,-1.00390625,-0.01171875,3.33203125,1.2897708415985107,-0.11140577495098114,-1.9955341815948486,2419.0,3280.0,2945.0,3219.0,3.890805959701538
-0.6790133118629456,4.77458381652832,-0.007120516151189804,-1.59765625,0.48828125,3.875,1.2386373281478882,-0.06790787726640701,-1.8565492630004883,2433.0,3274.0,2926.0,3207.0,3.894029378890991
1.0388163328170776,1.8050055503845215,-1.1863306760787964,-11.9921875,-2.3515625,7.765625,1.1973754167556763,0.11780700087547302,-1.561405897140503,2465.0,3233.0,2891.0,3199.0,3.8891942501068115
0.07361093908548355,-9.74830436706543,0.7573558688163757,-12.80078125,-1.04296875,8.3125,1.2217761278152466,0.07982631772756577,-1.715406060218811,2480.0,3267.0,2958.0,3271.0,3.8924176692962646
0.6664830446243286,-19.551725387573242,1.8233927488327026,-11.29296875,0.453125,2.1171875,1.2470216751098633,-0.19072653353214264,-2.2463581562042236,2425.0,3313.0,3088.0,3306.0,3.890805959701538
-4.1057586669921875,-10.452775955200195,-5.308171272277832,-20.015625,12.8984375,-12.26171875,1.3655223846435547,-0.23425525426864624,2.400583505630493,2341.0,3344.0,3126.0,3319.0,3.890805959701538
2.327169179916382,2.1037893295288086,1.0569900274276733,-0.01171875,3.1875,-24.7578125,1.4444236755371094,-0.1998046487569809,2.2636778354644775,2352.0,3355.0,3138.0,3329.0,3.890805959701538
-0.5240955352783203,4.067312717437744,2.50622296333313,-11.765625,12.8125,-10.28515625,1.4424492120742798,-0.2677766978740692,2.413546562194824,2367.0,3356.0,3142.0,3328.0,3.8924176692962646
-0.4133244454860687,4.705750942230225,2.3272526264190674,-11.765625,12.8125,-10.28515625,1.3476297855377197,-0.33493688702583313,2.623755931854248,2397.0,3353.0,3135.0,3326.0,3.894029378890991
1.8646565675735474,5.157675266265869,-0.4699293375015259,-3.71484375,-2.65625,-0.78125,1.3595821857452393,-0.25213438272476196,3.0530035495758057,2387.0,3326.0,3091.0,3301.0,3.8859705924987793
0.2561313211917877,5.242502212524414,0.13132734596729279,-2.15234375,2.9453125,1.07421875,1.3415571451187134,-0.19798046350479126,-3.012683868408203,2400.0,3309.0,3042.0,3282.0,3.8924176692962646
0.5582008361816406,4.908020496368408,0.5024124979972839,-2.75390625,0.2109375,-0.40234375,1.3081506490707397,-0.17124256491661072,-2.816305160522461,2413.0,3282.0,2975.0,3248.0,3.894029378890991
1.0200309753417969,4.780392646789551,0.5192102193832397,-2.0078125,-0.17578125,0.18359375,1.3283289670944214,-0.14745667576789856,-2.625771999359131,2422.0,3281.0,2959.0,3239.0,3.8924176692962646
