GYR/x,GYR/y,GYR/z,ACC/x,ACC/y,ACC/z,RPY/R,RPY/P,RPY/Y,FINGERS/thumb,FINGERS/index,FINGERS/middle,FINGERS/ring
0.0031829385552555323,0.0231922697275877,-0.0007713162340223789,0.03515625,-0.1640625,0.16015625,1.3790128231048584,-0.08561751246452332,-2.1468570232391357,2447.0,3278.0,2913.0,3196.0,3.894029378890991
0.0034484865609556437,0.01617179624736309,-0.002056883880868554,0.07421875,-0.078125,0.078125,1.3796353340148926,-0.08490040153265,-2.147264242172241,2436.0,3264.0,2903.0,3184.0,3.8891942501068115
0.0038498518988490105,0.016723236069083214,-0.0008963352302089334,0.06640625,0.07421875,-0.19921875,1.3795249462127686,-0.08475156873464584,-2.147350311279297,2447.0,3276.0,2915.0,3195.0,3.894029378890991
0.0049331290647387505,0.025183597579598427,-0.0007447214447893202,0.10546875,-0.1171875,-0.2578125,1.3799556493759155,-0.08479805290699005,-2.1448426246643066,2448.0,3276.0,2914.0,3196.0,3.894029378890991
0.0032932604663074017,0.0360303595662117,-0.0024916515685617924,-0.109375,0.03515625,0.0625,1.3786089420318604,-0.08200293779373169,-2.138335943222046,2447.0,3275.0,2913.0,3194.0,3.8924176692962646
0.004234409425407648,0.041741181164979935,-0.002367747016251087,0.01171875,0.04296875,0.0,1.3792269229888916,-0.08136647194623947,-2.135901689529419,2445.0,3275.0,2914.0,3194.0,3.8924176692962646
0.0054520186968147755,0.05387473106384277,-0.003584726247936487,0.03515625,-0.0859375,-0.07421875,1.3796292543411255,-0.07984723150730133,-2.131174325942993,2445.0,3270.0,2915.0,3194.0,3.8924176692962646
-0.0007619791431352496,0.0898444876074791,-0.005477366503328085,0.0234375,0.02734375,-0.08203125,1.378702163696289,-0.07689961791038513,-2.123767852783203,2437.0,3265.0,2907.0,3185.0,3.887582302093506
-0.008411302231252193,0.16826137900352478,-0.004621504805982113,0.10546875,-0.22265625,0.3828125,1.3713308572769165,-0.07166971266269684,-2.1033504009246826,2443.0,3275.0,2918.0,3197.0,3.8924176692962646
-0.017120372503995895,0.16240258514881134,-0.005739033687859774,0.015625,-0.37890625,0.54296875,1.3684287071228027,-0.06915929168462753,-2.0941224098205566,2443.0,3277.0,2919.0,3195.0,3.890805959701538
-0.0693306177854538,0.18384268879890442,-0.00813924241811037,-0.03125,-0.1640625,0.06640625,1.3581992387771606,-0.06624417752027512,-2.0877511501312256,2446.0,3277.0,2924.0,3197.0,3.8924176692962646
-0.1563238948583603,0.28187769651412964,-0.009831984527409077,-0.2421875,-0.0625,0.51953125,1.3257876634597778,-0.056497231125831604,-2.0570485591888428,2445.0,3278.0,2926.0,3199.0,3.890805959701538
-0.1808702051639557,0.3599661886692047,-0.004375696647912264,-0.32421875,0.3359375,1.140625,1.3185973167419434,-0.05297599732875824,-2.041304111480713,2446.0,3279.0,2926.0,3200.0,3.8924176692962646
-0.24782823026180267,0.5346710085868835,0.04619248956441879,-0.90234375,0.69140625,5.02734375,1.3018814325332642,-0.05650893598794937,-2.0134871006011963,2453.0,3283.0,2929.0,3206.0,3.8956410884857178
-0.430963933467865,0.610877275466919,0.37292224168777466,-1.91015625,0.8046875,7.28515625,1.2776943445205688,-0.07787302881479263,-1.973146677017212,2455.0,3278.0,2910.0,3196.0,3.8843588829040527
-2.647296905517578,-1.01750648021698,-0.7635661363601685,-6.5859375,0.9765625,8.01171875,1.1524628400802612,-0.13053379952907562,-1.9447567462921143,2480.0,3285.0,2925.0,3221.0,3.890805959701538
-3.938857078552246,-11.15725326538086,-1.8434221744537354,-14.56640625,1.1640625,8.37890625,1.0574358701705933,-0.20322397351264954,-2.2063865661621094,2485.0,3312.0,3021.0,3281.0,3.894029378890991
-4.51962423324585,-18.716711044311523,-2.926129102706909,-16.4296875,-1.01171875,0.5390625,1.066040277481079,-0.4169119596481323,-2.824340581893921,2481.0,3333.0,3070.0,3280.0,3.890805959701538
-2.3752574920654297,-11.775252342224121,-5.965084552764893,-17.4921875,-3.14453125,-4.390625,1.3141064643859863,-0.5319092273712158,2.653838634490967,2401.0,3332.0,3088.0,3279.0,3.894029378890991
-2.2117843627929688,2.221874713897705,-0.22792385518550873,-9.96875,14.859375,-17.9921875,1.4460755586624146,-0.23773068189620972,1.9778203964233398,2431.0,3353.0,3109.0,3294.0,3.8956410884857178
