GYR/x,GYR/y,GYR/z,ACC/x,ACC/y,ACC/z,RPY/R,RPY/P,RPY/Y,FINGERS/thumb,FINGERS/index,FINGERS/middle,FINGERS/ring
0.04651307314634323,0.02717936784029007,-0.02375311776995659,-0.2109375,0.08984375,0.21875,1.3911535739898682,-0.11857292801141739,-2.049511432647705,2384.0,3271.0,2895.0,3147.0,3.890805959701538
0.05156611651182175,-0.002564803697168827,-0.018499448895454407,-0.1328125,-0.26171875,0.734375,1.3933944702148438,-0.12008141726255417,-2.052399158477783,2387.0,3271.0,2895.0,3146.0,3.8924176692962646
0.05861031264066696,-0.04824863746762276,-0.016998685896396637,-0.03125,-0.23046875,0.93359375,1.3992538452148438,-0.12171148508787155,-2.059340715408325,2384.0,3265.0,2883.0,3137.0,3.8843588829040527
0.04274940863251686,-0.2363153100013733,-0.029908563941717148,-0.234375,0.0390625,1.046875,1.4051012992858887,-0.12272956967353821,-2.088576078414917,2386.0,3278.0,2895.0,3147.0,3.890805959701538
0.014480439014732838,-0.23698945343494415,-0.0433761365711689,-0.15625,0.0390625,1.1328125,1.4026987552642822,-0.11967024952173233,-2.101591110229492,2388.0,3278.0,2898.0,3149.0,3.8924176692962646
-0.008485453203320503,-0.1959199756383896,-0.06037018820643425,-0.109375,-0.15234375,1.26171875,1.3982025384902954,-0.11486216634511948,-2.1082603931427,2389.0,3279.0,2899.0,3152.0,3.894029378890991
-0.17799586057662964,-0.22170858085155487,-0.07118004560470581,-0.4453125,0.2734375,1.71875,1.374924659729004,-0.10850290209054947,-2.1298437118530273,2391.0,3280.0,2901.0,3155.0,3.8924176692962646
-0.38056468963623047,-0.17135033011436462,-0.07434486597776413,-0.359375,0.03125,2.6484375,1.355198621749878,-0.10634010285139084,-2.133906364440918,2394.0,3280.0,2899.0,3155.0,3.894029378890991
-0.3555847406387329,-0.2739669382572174,-0.06557288020849228,-0.62890625,-0.4296875,3.21875,1.3402019739151,-0.10629922151565552,-2.145230531692505,2397.0,3281.0,2871.0,3147.0,3.890805959701538
-0.3527010381221771,-0.5300737619400024,-0.07447957992553711,-0.8671875,-0.43359375,4.265625,1.330955982208252,-0.1114857867360115,-2.1749532222747803,2389.0,3279.0,2851.0,3133.0,3.8843588829040527
-0.9283340573310852,-0.7548817992210388,-0.029590461403131485,-2.79296875,2.171875,7.265625,1.27644944190979,-0.1243971437215805,-2.225783348083496,2427.0,3287.0,2846.0,3135.0,3.8891942501068115
-1.0806649923324585,-3.027967691421509,-0.13909780979156494,-5.79296875,2.27734375,7.73046875,1.229587197303772,-0.1486508548259735,-2.3063035011291504,2457.0,3290.0,2880.0,3152.0,3.8891942501068115
-0.21004706621170044,-7.896248817443848,-0.35699671506881714,-9.91796875,-1.859375,3.49609375,1.2451915740966797,-0.20302554965019226,-2.5399887561798096,2458.0,3297.0,2897.0,3153.0,3.8891942501068115
1.9986374378204346,-10.83653736114502,-0.705783486366272,-10.75,-4.61328125,-1.80078125,1.392587423324585,-0.2778865098953247,-2.9347081184387207,2391.0,3289.0,2958.0,3190.0,3.8891942501068115
-5.242107391357422,-10.834854125976562,-1.8276433944702148,-16.68359375,5.8828125,-10.69921875,1.4965622425079346,-0.18877223134040833,2.32023549079895,2323.0,3293.0,3017.0,3227.0,3.8891942501068115
1.8747878074645996,-0.5904642343521118,-0.42524591088294983,-4.2109375,-0.61328125,-20.3671875,1.4773988723754883,-0.16598062217235565,2.106450319290161,2317.0,3301.0,3026.0,3227.0,3.8843588829040527
0.24598659574985504,3.6395397186279297,0.596420407295227,-7.8515625,4.6484375,-11.50390625,1.5126477479934692,-0.17348793148994446,2.1962130069732666,2342.0,3315.0,3047.0,3248.0,3.8891942501068115
0.06919948011636734,4.430984973907471,0.9057537913322449,-8.26171875,3.41015625,-7.84375,1.4081573486328125,-0.22070404887199402,2.5519442558288574,2361.0,3323.0,3055.0,3252.0,3.8891942501068115
0.7209289073944092,4.371578216552734,0.3082704544067383,-3.8671875,-0.98046875,-0.22265625,1.4048813581466675,-0.20508210361003876,2.7347300052642822,2376.0,3319.0,3047.0,3248.0,3.8891942501068115
0.372467964887619,4.567719459533691,0.3710283041000366,-2.76171875,1.2109375,0.046875,1.3892176151275635,-0.18077348172664642,2.9141666889190674,2381.0,3315.0,3034.0,3248.0,3.8891942501068115
