GYR/x,GYR/y,GYR/z,ACC/x,ACC/y,ACC/z,RPY/R,RPY/P,RPY/Y,FINGERS/thumb,FINGERS/index,FINGERS/middle,FINGERS/ring
0.2909087836742401,-0.12598052620887756,-0.05778045952320099,0.921875,0.45703125,-0.61328125,1.4979543685913086,0.7731875777244568,-2.2825779914855957,2367.0,3280.0,2864.0,3152.0,3.9407691955566406
0.3887638747692108,-0.08861551433801651,-0.07236955314874649,0.96875,1.0703125,-0.125,1.5150907039642334,0.7762924432754517,-2.2839748859405518,2367.0,3281.0,2862.0,3152.0,3.9407691955566406
0.5398967862129211,-0.12392053753137589,-0.09990810602903366,1.0,1.6015625,0.4609375,1.5349483489990234,0.7825549244880676,-2.292246103286743,2372.0,3291.0,2874.0,3167.0,3.9407691955566406
0.7872860431671143,-0.37324342131614685,-0.08117717504501343,0.9921875,2.14453125,1.18359375,1.5541200637817383,0.7873222231864929,-2.317441940307617,2371.0,3300.0,2901.0,3184.0,3.9310989379882812
0.19792215526103973,-2.0978078842163086,0.22516083717346191,0.58984375,2.4921875,-0.41796875,1.4564085006713867,0.7569103837013245,-2.498460531234741,2385.0,3327.0,2954.0,3217.0,3.9407691955566406
0.16617687046527863,-2.186919689178467,0.3538660705089569,0.68359375,2.0390625,-1.33203125,1.385846495628357,0.7247929573059082,-2.6113123893737793,2391.0,3350.0,2993.0,3236.0,3.9407691955566406
0.19150754809379578,-2.2810163497924805,0.3865532875061035,0.171875,1.72265625,-1.35546875,1.319027304649353,0.6846109628677368,-2.7280690670013428,2393.0,3370.0,3024.0,3248.0,3.9407691955566406
0.2308756709098816,-2.211927652359009,0.5173975229263306,0.33984375,1.51953125,-2.4296875,1.2662605047225952,0.6393691301345825,-2.828765869140625,2401.0,3393.0,3063.0,3280.0,3.9439926147460938
0.09564784169197083,-2.1701018810272217,0.5955862402915955,-2.08203125,1.46484375,-2.90625,1.1718933582305908,0.5246220827102661,-3.008720874786377,2399.0,3411.0,3097.0,3297.0,3.9439926147460938
-0.10935883224010468,-2.102306842803955,0.5516819357872009,-2.3828125,0.34375,-2.41015625,1.125314712524414,0.47171446681022644,-3.0827436447143555,2385.0,3421.0,3117.0,3307.0,3.9343223571777344
-0.3633628487586975,-2.1491546630859375,0.6170349717140198,-3.0546875,-0.16796875,-2.83984375,1.0784714221954346,0.4102371037006378,3.1264097690582275,2383.0,3441.0,3141.0,3325.0,3.942380905151367
-0.2714417576789856,-0.6558752059936523,1.8571264743804932,-4.96484375,-1.84375,-4.8984375,1.020148515701294,0.25803208351135254,3.053863048553467,2334.0,3450.0,3154.0,3344.0,3.942380905151367
0.4712173342704773,9.002779006958008,8.3955717086792,-1.3203125,3.49609375,-13.0,1.0698118209838867,0.16186518967151642,-2.9838271141052246,2297.0,3453.0,3175.0,3393.0,3.942380905151367
8.619858741760254,20.988525390625,6.658820152282715,-7.21875,3.1171875,-19.7421875,1.3303823471069336,0.07523161917924881,-2.239341974258423,2336.0,3329.0,3022.0,3321.0,3.942380905151367
3.726398229598999,16.01841926574707,0.27978870272636414,-37.22265625,0.38671875,-11.0078125,1.5803788900375366,0.022824199870228767,-1.4754918813705444,2369.0,3281.0,2931.0,3265.0,3.9407691955566406
-2.8434088230133057,3.2873542308807373,-2.903930187225342,-11.26171875,-5.65625,7.75,1.5555092096328735,0.20479796826839447,-0.6592856645584106,2374.0,3265.0,2885.0,3207.0,3.9407691955566406
-1.1394168138504028,-0.33039912581443787,-1.3537322282791138,-8.5859375,-5.56640625,6.40625,1.4875085353851318,0.27881577610969543,-0.6184467077255249,2367.0,3239.0,2814.0,3165.0,3.939157485961914
0.7815634608268738,-1.285010814666748,-0.19179871678352356,-6.99609375,-4.515625,4.71484375,1.4808611869812012,0.2888239026069641,-0.6655619740486145,2364.0,3222.0,2768.0,3111.0,3.9439926147460938
1.4806599617004395,-0.8620309233665466,0.01598651148378849,-3.7578125,-1.91796875,1.93359375,1.5844568014144897,0.2769341766834259,-0.7430062294006348,2367.0,3223.0,2766.0,3117.0,3.942380905151367
1.4042553901672363,-1.0862634181976318,-0.18392223119735718,-1.61328125,0.3359375,2.57421875,1.6300503015518188,0.2887893617153168,-0.7854678630828857,2366.0,3217.0,2759.0,3113.0,3.942380905151367
